DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a1b6f._getpgpkey.example.com CERT 0.010321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513aed2._getpgpkey.example.com CERT 0.010301
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514901c._getpgpkey.example.com CERT 0.010669
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510fa32._getpgpkey.example.com CERT 0.011078
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695136576._getpgpkey.example.com CERT 0.011066
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519c3d2._getpgpkey.example.com CERT 0.011092
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695164092._getpgpkey.example.com CERT 0.011069
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514a5fe._getpgpkey.example.com CERT 0.011021
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695184784._getpgpkey.example.com CERT 0.011016
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b8b6b._getpgpkey.example.com CERT 0.011383
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951edeb4._getpgpkey.example.com CERT 0.011380
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951593ec._getpgpkey.example.com CERT 0.011363
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695190222._getpgpkey.example.com CERT 0.013565
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bb09f._getpgpkey.example.com CERT 0.011060
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f69e3._getpgpkey.example.com CERT 0.011131
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951827fe._getpgpkey.example.com CERT 0.011044
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac5c8._getpgpkey.example.com CERT 0.011456
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695184e1a._getpgpkey.example.com CERT 0.012959
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514f1ef._getpgpkey.example.com CERT 0.011939
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510cb0e._getpgpkey.example.com CERT 0.011850
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e6938._getpgpkey.example.com CERT 0.001421
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510d20e._getpgpkey.example.com CERT 0.001474
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951443dd._getpgpkey.example.com CERT 0.001612
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b24c4._getpgpkey.example.com CERT 0.001620
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518d55d._getpgpkey.example.com CERT 0.001728
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695195b4a._getpgpkey.example.com CERT 0.001853
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516f288._getpgpkey.example.com CERT 0.001774
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fe086._getpgpkey.example.com CERT 0.001800
