DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Wed Sep 30 22:27:49 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515ff4e._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695144f70._getpgpkey.example.com CERT 0.000338
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511b9a4._getpgpkey.example.com CERT 0.000340
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c2d04._getpgpkey.example.com CERT 0.000423
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519a336._getpgpkey.example.com CERT 0.000347
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515240d._getpgpkey.example.com CERT 0.000337
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951124f4._getpgpkey.example.com CERT 0.000324
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514fa77._getpgpkey.example.com CERT 0.000348
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695114d36._getpgpkey.example.com CERT 0.000336
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517aac3._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951756fb._getpgpkey.example.com CERT 0.000369
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514d694._getpgpkey.example.com CERT 0.000350
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695196553._getpgpkey.example.com CERT 0.000361
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511868b._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d7231._getpgpkey.example.com CERT 0.000328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c9606._getpgpkey.example.com CERT 0.000337
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951adbc2._getpgpkey.example.com CERT 0.000387
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b2286._getpgpkey.example.com CERT 0.000355
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f30a4._getpgpkey.example.com CERT 0.000336
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bd3f5._getpgpkey.example.com CERT 0.000341
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d191c._getpgpkey.example.com CERT 0.000424
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519a9f1._getpgpkey.example.com CERT 0.000333
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695193876._getpgpkey.example.com CERT 0.000359
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e35dd._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695150234._getpgpkey.example.com CERT 0.000347
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b663c._getpgpkey.example.com CERT 0.000326
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518f852._getpgpkey.example.com CERT 0.000314
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fb92d._getpgpkey.example.com CERT 0.000359
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd90a._getpgpkey.example.com CERT 0.000319
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fe262._getpgpkey.example.com CERT 0.000323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951626e0._getpgpkey.example.com CERT 0.000334
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951aa745._getpgpkey.example.com CERT 0.000327
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513a96e._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cc717._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695149ff1._getpgpkey.example.com CERT 0.000323
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951752b6._getpgpkey.example.com CERT 0.000336
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695124d11._getpgpkey.example.com CERT 0.000374
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695109724._getpgpkey.example.com CERT 0.000325
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a134f._getpgpkey.example.com CERT 0.000337
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b0152._getpgpkey.example.com CERT 0.000410
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bdc56._getpgpkey.example.com CERT 0.000335
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513ad4e._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a0c2d._getpgpkey.example.com CERT 0.000318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e18cd._getpgpkey.example.com CERT 0.000328
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cc684._getpgpkey.example.com CERT 0.000322
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951345f6._getpgpkey.example.com CERT 0.000384
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695110942._getpgpkey.example.com CERT 0.000335
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695193623._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469515f582._getpgpkey.example.com CERT 0.000337
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cd26d._getpgpkey.example.com CERT 0.000371
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695196081._getpgpkey.example.com CERT 0.000343
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951a258e._getpgpkey.example.com CERT 0.000332
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469514de67._getpgpkey.example.com CERT 0.000324
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695156ae0._getpgpkey.example.com CERT 0.000324
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951292af._getpgpkey.example.com CERT 0.000317
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951402b5._getpgpkey.example.com CERT 0.000347
